Date,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Hong Kong,Ireland,Israel,Italy,Japan,Netherlands,New Zealand,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,United Kingdom,USA
1970-01-01,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-02,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-05,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-06,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-07,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-08,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-09,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-12,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-13,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-14,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-15,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-16,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-19,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-20,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-21,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-22,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-23,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-26,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-27,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-28,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-29,100,100,100,100,100,,100,100,100,,,100,100,100,,100,,100,100,100,100,100,100
1970-01-30,96.743,99.769,100.681,102.195,100.202,,103.671,94.971,105.158,,,103.906,98.135,94.277,,103.799,,98.707,103.69,95.944,97.346,99.069,92.592
1970-02-02,96.743,99.769,100.681,102.195,100.202,,103.671,94.971,105.158,,,103.906,98.135,94.277,,103.799,,98.707,103.69,95.944,97.346,99.069,92.592
